user,hidden_time,time_to_completion,reach_end,last_ne_seen,raw_session_length,avg_nec_time,std_nec_time,med_nec_time,norm_avg_nec_time,norm_std_nec_time,session_length,SP,MP,LP,VLP,SWITCH_VIEW_BUTTON_CLICKED,PLAY_PAUSE_BUTTON_CLICKED,VIDEO_SCRUBBED,CHANGE_CHAPTER_BUTTON_CLICKED,FULLSCREEN_BUTTON_CLICKED,SUBTITLES_BUTTON_CLICKED,OVERLAY_BUTTON_CLICKED,VOLUME_CHANGED,REPEAT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,BACK_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,LINK_CHOICE_CLICKED,USER_SET_VARIABLE,SWITCH_VIEW_BUTTON_CLICKED_proportion,PLAY_PAUSE_BUTTON_CLICKED_proportion,VIDEO_SCRUBBED_proportion,CHANGE_CHAPTER_BUTTON_CLICKED_proportion,FULLSCREEN_BUTTON_CLICKED_proportion,SUBTITLES_BUTTON_CLICKED_proportion,OVERLAY_BUTTON_CLICKED_proportion,VOLUME_CHANGED_proportion,REPEAT_BUTTON_CLICKED_proportion,BROWSER_VISIBILITY_CHANGE_proportion,BACK_BUTTON_CLICKED_proportion,NEXT_BUTTON_CLICKED_proportion,LINK_CHOICE_CLICKED_proportion,USER_SET_VARIABLE_proportion,total_events
7w3f,0.0,2947.47,True,Closing credits,3045.168,108.75571428571428,88.89204666490423,94.27850000000001,2.5323143055066906,1.1975569292139447,3045.168,11,13,11,41,7,10,8,0,0,0,7,0,4,0,12,68,0,0,0.000603448275862069,0.0008620689655172415,0.000689655172413793,0.0,0.0,0.0,0.000603448275862069,0.0,0.0003448275862068965,0.0,0.0010344827586206897,0.005862068965517241,0.0,0.0,116
frr8,0.0,1713.872,True,Closing credits,1912.965,65.96413793103447,33.9028533838552,61.892,1.7491358037133906,1.03434103474211,1912.965,17,4,3,28,6,0,1,6,1,0,13,0,1,0,2,56,0,0,0.0006976744186046512,0.0,0.00011627906976744185,0.0006976744186046512,0.00011627906976744185,0.0,0.0015116279069767441,0.0,0.00011627906976744185,0.0,0.0002325581395348837,0.0065116279069767444,0.0,0.0,86
c2066b,3.7640000000000002,934905.4110000001,True,Make step 2,935037.809,33393.90571428571,173185.87770804696,52.837,1755.7953984587875,9115.388233368778,935034.045,21,8,5,26,5,4,1,0,0,0,13,0,1,4,10,72,0,0,0.00045454545454545455,0.0003636363636363636,9.09090909090909e-05,0.0,0.0,0.0,0.0011818181818181819,0.0,9.09090909090909e-05,0.0003636363636363636,0.0009090909090909091,0.006545454545454545,0.0,0.0,110
un3g,0.0,2880.332,True,Closing credits,3001.754,107.20382142857144,77.11869040504733,93.60549999999999,2.8384715189281478,1.9743449736446455,3001.754,17,12,8,45,4,6,19,0,0,0,12,0,4,0,10,66,0,0,0.00033057851239669424,0.0004958677685950413,0.0015702479338842975,0.0,0.0,0.0,0.0009917355371900827,0.0,0.00033057851239669424,0.0,0.0008264462809917355,0.005454545454545454,0.0,0.0,121
924b4d,6815.8369999999995,944.3160000000003,True,Title sequence,196070.044,6621.441620689655,34303.62387554639,122.591,3.567237091975829,3.407417081023612,189254.207,38,10,11,53,0,2,0,0,3,0,29,0,17,11,26,100,0,0,0.0,0.00010638297872340425,0.0,0.0,0.00015957446808510637,0.0,0.0015425531914893618,0.0,0.0009042553191489362,0.0005851063829787234,0.0013829787234042553,0.005319148936170213,0.0,0.0,188
7k57,0.0,2669.508,True,Closing credits,2787.927,99.56642857142857,63.528948501242084,83.28399999999999,2.6184892140627416,1.6531323158099651,2787.927,15,4,12,41,2,3,1,2,1,0,3,0,5,0,20,94,0,0,0.00015267175572519084,0.00022900763358778625,7.633587786259542e-05,0.00015267175572519084,7.633587786259542e-05,0.0,0.00022900763358778625,0.0,0.0003816793893129771,0.0,0.0015267175572519084,0.007175572519083969,0.0,0.0,131
acca7d,4517.948,-314.62000000000035,True,Closing credits,4216.288,69.70434482758618,289.5849267899661,0.788,1.1777030317733188,4.134967129290899,-301.66000000000076,6,3,2,11,0,8,0,0,1,0,0,0,0,17,2,58,0,0,0.0,0.0009302325581395348,0.0,0.0,0.00011627906976744185,0.0,0.0,0.0,0.0,0.0019767441860465114,0.0002325581395348837,0.006744186046511628,0.0,0.0,86
yq69,0.0,2154.738,True,Closing credits,2244.153,80.14632142857144,43.694478740007526,91.3195,1.9652364144751746,0.869523825999805,2244.153,10,4,9,32,1,7,12,0,1,0,1,0,3,0,2,58,0,0,0.00011764705882352942,0.0008235294117647059,0.0014117647058823528,0.0,0.00011764705882352942,0.0,0.00011764705882352942,0.0,0.0003529411764705882,0.0,0.00023529411764705883,0.006823529411764706,0.0,0.0,85
d3bef5,0.0,2588.004,True,Closing credits,2704.087,93.24437931034481,70.63071591586169,77.995,2.3294438926804433,1.8463356433256546,2704.087,35,19,20,28,11,5,11,2,0,0,14,0,1,2,58,126,0,0,0.0004782608695652174,0.00021739130434782607,0.0004782608695652174,8.695652173913044e-05,0.0,0.0,0.0006086956521739131,0.0,4.347826086956522e-05,8.695652173913044e-05,0.0025217391304347826,0.005478260869565217,0.0,0.0,230
yndn,0.0,2193.637,True,Closing credits,2312.974,82.60507142857143,66.9432484550099,59.198499999999996,1.9777899826189953,1.0838026068259903,2312.974,0,6,3,31,0,6,0,0,1,2,0,0,2,0,0,56,0,0,0.0,0.0008955223880597014,0.0,0.0,0.00014925373134328358,0.00029850746268656717,0.0,0.0,0.00029850746268656717,0.0,0.0,0.00835820895522388,0.0,0.0,67
